bibkey,citation_use_count,identifier_type,identifier,http_status,report_title,resolved_title,resolved_year
tena2011interactive,1,doi,10.1145/2010324.1964971,200,Interactive region-based linear 3D face models,Interactive region-based linear 3D face models,2011
neumann2013splocs,1,doi,10.1145/2508363.2508417,200,Sparse localized deformation components,Sparse localized deformation components,2013
wu2016anatomical,1,doi,10.1145/2897824.2925882,200,An anatomically-constrained local deformation model for monocular face capture,An anatomically-constrained local deformation model for monocular face capture,2016
bouritsas2019neural3dmm,1,none,,NO_NETWORK_IDENTIFIER,Neural 3D morphable models: Spiral convolutional networks for 3D shape representation learning and generation,,
tarasiou2024lamm,5,arxiv,2401.02937,200,Locally adaptive neural 3D morphable models,,
potamias2024shapefusion,4,doi,10.1007/978-3-031-72630-9_5,200,ShapeFusion: A 3D diffusion model for localized shape editing,ShapeFusion: A 3D Diffusion Model for Localized Shape Editing,2025
giebenhain2023nphm,4,none,,NO_NETWORK_IDENTIFIER,Learning neural parametric head models,,
potamias2025imhead,4,arxiv,2510.10793,200,ImHead: A large-scale implicit morphable model for localized head modeling,,
vectra,2,url,https://www.canfieldsci.com/imaging-systems/vectra-xt-3d-imaging-system/,200,VECTRA XT 3D imaging system,,
mirrorme3d,2,url,https://www.mirrorme3d.com/,200,3D patient assessment and surgical planning,,
threedmd,1,url,https://3dmd.com/2007/05/18/3dmd-announces-new-3d-visualization-and-simulation-software/,200,3dMD announces new 3D visualization and simulation software,,
lifeviz,1,url,https://www.quantificare.com/3d-photography-systems-old/lifeviz-mini/,200,LifeViz Mini 3D photography system,,
crisalix,2,url,https://www.crisalix.com/,200,Crisalix: 3D/4D aesthetic simulation,,
banuba,1,url,https://www.banuba.com/,200,AI plastic-surgery simulator SDK,,
facetouchup,1,url,https://www.facetouchup.com/,200,Online rhinoplasty (nose job) simulator,,
aedit,1,url,https://aedit.com/aeditor-app,200,AEDITOR app,,
arbrea,1,url,https://arbrea-labs.com/,200,Arbrea 3D aesthetic simulation,,
topsakal2020,2,doi,10.1007/s11548-020-02251-7,200,Digitizing rhinoplasty: a web application with three-dimensional preoperative evaluation to assist rhinoplasty surgeons with surgical planning,Digitizing rhinoplasty: a web application with three-dimensional preoperative evaluation to assist rhinoplasty surgeons with surgical planning,2020
sobral2021,1,doi,10.1093/asj/sjab085,200,3D virtual planning for rhinoplasty using a free add-on for open-source software,3D Virtual Planning for Rhinoplasty Using a Free Add-On for Open-Source Software,2021
liao2010laplacian,3,doi,10.1002/cav.347,200,Inhomogeneous volumetric Laplacian deformation for rhinoplasty planning and simulation system,Inhomogeneous volumetric Laplacian deformation for rhinoplasty planning and simulation system,2010
rao2023,1,doi,10.3390/app13010659,200,3D facial plastic surgery simulation: based on the structured light,3D Facial Plastic Surgery Simulation: Based on the Structured Light,2023
alrashidi2021,1,doi,10.1109/SoutheastCon45413.2021.9401814,200,Aiding rhinoplasty surgeons with 3D imaging and a rule-based adjustment algorithm,Aiding Rhinoplasty Surgeons with 3D Imaging and a Rule-Based Adjustment Algorithm,2021
landmarkdiff,1,url,https://github.com/dreamlessx/LandmarkDiff-public,200,LandmarkDiff-public: photorealistic facial surgery outcome prediction from a single photo,,
rhinoaireview,2,doi,10.1007/s00266-022-02883-x,200,Simulation and artificial intelligence in rhinoplasty: a systematic review,Simulation and Artificial Intelligence in Rhinoplasty: A Systematic Review,2022
rhinoaisim,2,doi,10.1007/s00266-024-04043-9,200,Turn your vision into reality--AI-powered pre-operative outcome simulation in rhinoplasty surgery,Turn Your Vision into Reality—AI-Powered Pre-operative Outcome Simulation in Rhinoplasty Surgery,2024
vectravalid,1,doi,10.3390/ijerph19148820,200,Validation of Vectra 3D imaging systems: a review,Validation of Vectra 3D Imaging Systems: A Review,2022
efron1993,1,none,,NO_NETWORK_IDENTIFIER,,,
holm1979,1,none,,NO_NETWORK_IDENTIFIER,A simple sequentially rejective multiple test procedure,,
