paragraph_start_line,kind,sentence
256,quantitative+implementation,Algorithm 4.1: Hard Ridge-relative fold certificate Input: Ridge anchor D_R; gated residual R_g; faces F; exact handles H; attenuation =0.75; local limit T=64; uniform grid M=1001.
256,narrative,Output: Certified displacement D_cert.
256,quantitative,"Set R_g( H) 0 and w 1 with w( H)=0. for t=0, ,T do 1em D D_R+ w R_g. 1emif K( D) K( D_R) then return D. 1emLet B be vertices of folds newly introduced relative to Ridge; set w( B) w( B) and w( H) 0. end for for on the M-point grid 1 0 do 1emTest D_R+ R_g; return the first certified field. end for =0 is the guaranteed Ridge endpoint."
285,quantitative,figures/redrawn/fig_5_1_evaluation_protocol.pdf figures/eval_review_v3/eval_02_subunit_matrix_review_v1.pdf figures/eval_review_v3/eval_03_spatial_operating_points_review_v1.pdf figures/eval_review_v3/eval_06_qualitative_extremes_review_v1.pdf figures/eval_review_v3/eval_01_operating_points_review_v1.pdf figures/eval_review_v3/eval_05_noise_robustness_review_v1.pdf figures/redrawn/fig_a_1_qualitative_all.pdf figures/redrawn/fig_a_3_subunit_strain.pdf figures/redrawn/fig_a_6_learning_curve.pdf rhinoformUnexpected redraw index Check figure-redraw dispatcher order.
302,quantitative,Rhinoform: A Limitation-Aware Interactive Platform for Sparse-Control Nasal Morphology Preview on Registered 3D Face Meshes
328,narrative,Final-Year Individual Project
332,narrative,Department of Computing
344,quantitative,A Limitation-Aware Interactive Platform for 0.16cm Sparse-Control Nasal Morphology Preview 0.16cm on Registered 3D Face Meshes
358,narrative,From a controlled sparse-control dense-deformation benchmark to a conservative and auditable research prototype for morphology communication
366,quantitative,Author: Li Zequan \\[0.45em] Supervisor: Dr Jiankang Deng \\[0.45em] Programme: MEng Electronic and Information Engineering \\[0.45em] Department: Department of Computing \\[0.45em] Institution: Imperial College London
382,narrative,"Rhinoplasty has a comparatively high revision rate, and dissatisfaction with postoperative nasal appearance is a major reason patients seek revision."
382,narrative,"A key contributor is inadequate preoperative communication, which can leave the patient and surgeon expecting different results ."
382,narrative,Three-dimensional preoperative preview can make the intended change easier to discuss .
382,narrative,This dissertation separates two technical requirements for such a preview: fidelity to the registered target morphology and regularity of the predicted surface.
392,quantitative,"On the registered FaceScape topology, this dissertation formulates the problem as source-conditioned sparse-control morphology completion: given the displacements of nine FaceScape-calibrated semantic nasal landmarks and a source identity, the goal is to predict the dense displacement field of a 3934-vertex nasal ROI."
392,quantitative,"Eight methods are evaluated under the same identity-disjoint protocol, using the same 9\,900 test pairs, sparse controls, and metrics."
392,narrative,"Within this benchmark, the proposed certified RB-SR is compared with three geometric methods (Laplacian, bi-Laplacian and As-Rigid-As-Possible deformation), two learned methods (CVAE and LAMM), and one statistical method (the source-PCA Ridge anchor)."
392,narrative,A fixed Ridge--CVAE hybrid is included only as a matched internal ablation.
392,narrative,RB-SR admits a spatially gated neural residual on top of the Ridge anchor and then projects it so that its folded faces are a subset of the anchor's.
392,quantitative,Evaluation measures dense fidelity with free-ROI RMSE and surface regularity with target-relative new normal flips and edge-strain p_95.
392,comparative_claim,"Certified RB-SR improves its matched ridge anchor on both predeclared primary outcomes (ROI RMSE -1.30\%, new flips -31.6\%, both Holm-significant across 100 test identities) with no detected edge-strain cost, and certifies all 9\,900 test pairs while retaining 99.2\% of the admitted residual."
392,comparative_claim,"No single method dominates the study: LAMM attains the lowest reconstruction error, ARAP the best geometric regularity, and certified RB-SR the best-justified operating point between them---more regular than LAMM (74\% fewer new flips, 36\% lower edge strain) and more accurate than every geometric editor."
392,comparative_claim,"A post-hoc higher-capacity configuration of the same family surpasses LAMM on all three metrics, indicating that the operating point reflects a deliberate conservative choice rather than a capacity ceiling."
419,narrative,The deployed prototype treats this evidence as a risk--utility operating point.
419,implementation_claim,"The ridge anchor answers every control movement in real time, while the certified residual is computed asynchronously and replaces the anchor only when its fold-subset certificate holds; requests outside the evaluated control range are scaled back or withheld by a separate input-applicability policy."
419,quantitative+implementation,The released browser build is locked to the released assets and passes 51 automated checks against stored reference goldens.
419,narrative,"Its scope is morphology communication on a registered surface mesh; it makes no surgical-outcome, airway, or cross-dataset claim."
432,narrative,protrusion=false protrusion=true
443,narrative,Rhinoplasty occupies an unusual position among surgical procedures.
443,narrative,"It is technically demanding and one of the most frequently performed facial aesthetic operations, yet it also carries one of the lowest satisfaction rates and one of the highest revision rates of any cosmetic procedure."
443,comparative_claim,"Reported revision rates cluster consistently between 5\% and 15\% across independent series , and crucially the dominant reason patients return is rarely a threat to safety or breathing."
443,quantitative,"In a single-centre study of 732 closed rhinoplasties, the surgical revision rate was 8.6\%, and the factors most strongly associated with revision were morphological---wide or deviated noses and residual contour irregularities---rather than acute complications ."
443,quantitative,A recent literature synthesis of 40 studies reaches the same conclusion from the patient side: the majority of structural complaints driving dissatisfaction are a residual dorsal hump (\( 20\%\) of patients) and persistent nasal-tip fullness or irregularity (\(19\%\)--\(37\%\)) .
459,narrative,The deeper pattern in this literature is that dissatisfaction is frequently an expectation problem rather than an execution problem.
459,narrative,"The same synthesis identifies ``ineffective patient--provider communication'', inadequate informed consent, and a failure to reach an explicit consensus on surgical goals as recurring, modifiable contributors to postoperative dissatisfaction ."
459,narrative,"In other words, the surgeon's internal plan and the picture in the patient's mind are often two different noses, and the gap only becomes visible after the cast comes off."
459,narrative,For a patient this can feel like opening a blind box; for a surgeon it is a documentation and medico-legal liability.
470,narrative,A natural remedy is to make the intended change visible and discussable before surgery.
470,narrative,The clinical evidence here is encouraging.
470,comparative_claim,"Preoperative computer imaging is associated with significantly improved patient-reported benefit , and three-dimensional simulation is now the preferred consultation aid where it is available: in a series of 172 consecutive candidates, 95\% considered 3D morphing an added value over 2D, and 84\% of revision patients said 3D simulation helped them understand the aims of surgery (versus 61\% for primary patients) ."
470,quantitative,"More recent work using a commercial 3D platform reports that simulation accuracy correlates strongly with eventual satisfaction ( = 0.66, P < .001) ."
470,narrative,"Simulation, done well, aligns expectations and supports shared decision-making."
483,narrative,The value of a three-dimensional consultation tool is not only that it shows a nose more vividly than a two-dimensional photograph.
483,narrative,It also makes the design face-specific.
483,narrative,"Patients often arrive with a desired aesthetic reference: a celebrity nose, a filtered image, or an idealised mental picture of a high bridge, projected tip or narrow alar base."
483,narrative,"The difficult question is not whether that nose is attractive in isolation, but whether it belongs on this face, with this radix, dorsum, tip support, alar width and surrounding facial proportions."
483,quantitative,A personalised 3D preview can therefore redirect the consultation from ``can I have that nose?'' to ``what version of that intention is coherent on my face?'' This is a communication benefit that generic 2D morphing and celebrity-reference discussion cannot provide.
496,quantitative+implementation,"Fig 1.1 --- From verbal wish to a controlled geometric task (REDRAW) Claim: the clinical communication gap is translated into the controlled task ``nine sparse control handles dense nasal deformation'', with the safety boundary (certificate, non-claim) announced up front."
496,implementation_claim,"Style: Benjamin-Teoh vector language, minimal single-row pipeline (not a hero figure)."
496,implementation_claim,"Composition: left (light green) verbal wish ``make the tip narrower'' gap symbol right, a three-step mini-pipeline: nine-handle control (green) dense deformation (yellow) certified output (purple); dashed footer box ``decision-support only, no surgical claim''."
496,narrative,"Data: conceptual, no data."
496,narrative,Replaces: old TikZ rffigIntroGap; absorbs unused rffigClinicalGap.
496,quantitative,See figure\_redraw\_inventory.md Fig 1.1.
510,implementation_claim,Rhinoform replaces free-form verbal negotiation with nine sparse handles on the nasal ROI; a dense deformation is completed automatically and every accepted edit carries a hard fold certificate.
510,narrative,"The system is a communication aid, not a surgical prediction."
517,narrative,"An effective preview must therefore translate verbal preferences, such as ``raising the nasal tip slightly'' or ``narrowing the dorsum'', into a concrete shape proposal that can be adjusted, inspected from multiple angles and discussed against the patient's own face."
517,narrative,"This creates a second obligation: the same visual persuasiveness that helps communication can also raise unrealistic expectations , especially when counselling is not supported by a concrete visual anchor ."
517,narrative,"Rhinoform is positioned accordingly as a morphology-communication prototype for plan comparison, interactive adjustment and expectation alignment."
517,narrative,This framing is summarised in .
528,narrative,This is also where safety enters the consultation.
528,narrative,"Some desired noses are not merely aesthetically mismatched but outside a reasonable deformation envelope: the requested bridge may be too high for the starting anatomy, the projected tip may require excessive surface stretch, or the alar narrowing may create a locally folded surface in the mesh."
528,narrative,"Rhinoform treats these cases as out-of-distribution or high-risk proposals to be discussed, shrunk or refused, rather than as images to render persuasively."
528,narrative,"The goal is to help the patient and clinician converge toward an individually suitable design before surgery, not to help the patient demand an idealised geometry that is incompatible with their own face."
542,quantitative,"To study previewing rigorously rather than anecdotally, the consultation gesture is reduced to a controlled geometric task on registered 3D face meshes."
542,comparative_claim,"A surgeon or patient expresses a desired change through a small number of semantic handles on the nose---raise the radix, lower the dorsal hump, rotate or deproject the tip, narrow the alar base."
542,quantitative,"Concretely, the system is driven by nine nasal landmarks whose 3D displacements form a 27-dimensional control vector."
542,quantitative,"The task is to turn that sparse intent into a dense displacement field over a nasal region of interest (ROI) of 3934 vertices on a topologically consistent mesh, so that the rest of the nose follows the handles in a coherent way."
553,narrative,The application boundary follows from the same clinical evidence.
553,narrative,"The editable object is deliberately restricted to the nasal ROI, because the motivating complaints concentrate on radix, dorsum, tip and alar morphology; the surrounding full head is rendered so the preview can be judged in facial context."
553,narrative,"A realistic full-face render is therefore contextual display, while the technical claim remains nasal surface morphology within the registered ROI."
560,narrative,"This is a genuinely hard, under-determined inverse problem: nine handles cannot uniquely determine thousands of vertices, so infinitely many dense fields are consistent with the same control input."
560,narrative,"The central difficulty---and the reason a naive editor is dangerous in a consultation---is that many of those solutions are visually plausible but geometrically degenerate: surfaces that self-intersect, flip their normals, or stretch local triangles beyond what real nasal morphology supports."
560,narrative,A preview tool that silently displays such an artefact as a confident ``after'' image is actively misleading.
560,narrative,The technical contribution is a dense predictor with an explicit trust boundary: the system estimates the nasal response and reports when the estimate leaves the benchmarked geometric regime.
572,narrative,Source identity conditioning supplies the first part of that boundary.
572,narrative,"The statistical backbone conditions the sparse-to-dense prediction on the starting facial geometry, so the same landmark request can expand differently on different registered noses."
572,narrative,The live control-scale applicability check flags requests outside the evaluated control range and can scale them back or withhold them.
572,narrative,"Normal flips and edge strain are shown separately as descriptive geometric read-outs: edge strain is a surface-stretch proxy relevant to skin-envelope tension, and normal flips are a proxy for local fold-over or surface collapse."
572,implementation_claim,"The fold certificate, rather than either read-out, controls admission of the learned residual."
572,narrative,The full tensor contract and gating mechanism are formalised in .
584,narrative,"The project follows an applied-systems logic: pain point first, then concrete requirements, then a prototype whose behaviour can be measured."
584,narrative,"This keeps the clinical motivation connected to implementation choices rather than leaving it as background context. converts the literature and product gap into explicit design constraints: each requirement either supports shared consultation, keeps the sparse-control deformation auditable, or prevents the interface from implying a surgical-outcome claim."
602,narrative,Observed gap Requirement in this dissertation \\
604,narrative,"Consultations rely on words, photos and implicit mental models."
604,quantitative,"Provide a shared, manipulable 3D reference for patient--clinician discussion."
604,quantitative,\\ Commercial 3D aesthetic tools are persuasive but often proprietary or visually oriented.
604,implementation_claim,Keep the sparse-control to dense-deformation pipeline transparent and benchmark-calibrated.
604,narrative,\\ Patients may request an attractive reference nose without knowing whether it suits their own face.
604,narrative,Make the preview face-specific and support personalised suitability discussion rather than generic aesthetic copying.
604,narrative,\\ Generic mesh editors are stable but not data-aware.
604,narrative,Compare classical smoothness/rigidity priors against a statistical FaceScape anchor.
604,narrative,\\ Neural generators can look confident while leaving the geometric envelope.
604,narrative,"Expose learned residuals only as risk-gated proposals, not unconditional answers."
604,narrative,\\ Over-ambitious edits can imply excessive stretch or geometric failure.
604,narrative,Use a control-scale applicability boundary to scale back or withhold out-of-range edits; show normal-flip and edge-strain proxies as separate geometric read-outs.
604,narrative,"\\ Full surgical prediction would require anatomy, biomechanics and clinical validation."
604,narrative,"Scope the system as morphology communication over a nasal ROI, not a medical device."
618,narrative,The dissertation is organised around four research questions that connect the software system to the method and then to the evaluation evidence:
622,comparative_claim,"Under a single fixed protocol---registered FaceScape topology, a nine-landmark sparse-control interface, and identity-level evaluation---which deformation prior best completes a sparse nasal edit into a dense displacement field: classical geometric editors, a source-conditioned statistical anchor, a neural generator, a strong external learned baseline (LAMM), or the proposed certified RB-SR framework?"
629,comparative_claim,"Does certified RB-SR improve its matched ridge anchor under predeclared, Holm-corrected primary outcomes, and---once the stronger baselines are included---where does it sit on the resulting accuracy--regularity trade-off?"
629,narrative,"Is that trade-off a capacity ceiling of the method family, or a deliberate choice of operating point?"
635,narrative,Which components do the work?
635,implementation_claim,"What do the component chain (anchor, residual proposal, learned gate, hard certificate) and the source-conditioning ablation reveal about where the accuracy gain comes from and why a hard admission stage is necessary?"
640,narrative,"How should this evidence be translated into a user-facing consultation prototype that exposes the credibility and failure modes of each preview---and what do regional, noise, failure-case and conformance diagnostics reveal about the limits of the deployed system?"
650,narrative,"In answering these questions, this dissertation makes four contributions:"
653,narrative,"A unified sparse-control, dense-deformation benchmark for nasal morphology on registered FaceScape topology, with an identity-disjoint split, a fixed nine-landmark control protocol, a strict free-vertex scorer, and a reproducible evaluation harness."
653,quantitative,"Eight methods---classical geometric editors (Laplacian, bi-Laplacian, ARAP), a source-PCA ridge anchor, a CVAE generator, a fixed hybrid, the strong external learned baseline LAMM (retrained and adapted to the same protocol in response to examiner feedback), and the proposed certified RB-SR---are scored on the same 9\,900 held-out identity pairs under identical conditions, which is what makes the comparison meaningful."
663,narrative,The certified RB-SR framework.
663,implementation_claim,A source-conditioned ridge anchor supplies a stable sparse-to-dense backbone; a CVAE proposes a dense correction; a learned per-vertex gate admits the residual spatially; and a hard ridge-relative fold certificate projects the admitted residual so that its folded faces are a subset of the anchor's.
663,implementation_claim,"The certificate is motivated by a negative result: no soft-gated configuration satisfied both geometric budgets, so the deployment contract is provided by an explicit projection rather than by optimisation pressure alone."
672,narrative,A statistically disciplined evidence chain.
672,narrative,"Predeclared primary outcomes with Wilcoxon signed-rank tests and Holm correction at identity level, source- and target-clustered sensitivity intervals, a validation-only component chain, a source-conditioning ablation, post-hoc regional, noise and deterministic qualitative diagnostics (including a mandatory failure case), and an explicitly post-hoc capacity study that separates the deployed operating point from the family's accuracy ceiling."
680,quantitative,"Rhinoform, an interactive 3D consultation prototype that turns the benchmark findings into a working, measured system."
680,implementation_claim,"The platform uses the source-conditioned ridge anchor as its real-time default predictor, computes the certified residual asynchronously and admits it only when the fold-subset certificate holds, and scales back or withholds requests outside the evaluated control range via a separate input-applicability policy."
680,quantitative+implementation,The released browser build is locked to the released assets and passes 51 automated checks against stored reference goldens.
680,narrative,"The prototype is the deployed form of the dissertation's empirical finding: a useful morphology preview should combine source-conditioned dense response with explicit, mechanically separated admission guarantees."
686,narrative,Rhinoform is developed as a technical prototype for preoperative morphology communication.
686,quantitative,"Its purpose is to help patients and surgeons explore face-specific nasal shape changes in 3D, compare alternative editing directions, and discuss expectations using a shared visual reference."
686,narrative,It is not intended to predict the final surgical result.
688,narrative,The claims of this dissertation are therefore limited to the controlled setting in which the system is built and evaluated.
688,narrative,"In particular, the system:"
691,narrative,"predicts geometric nasal shape variation, not surgical outcome, healing, soft-tissue biomechanics, or airway function---in particular, the cross-identity target pairs used for supervision define a benchmark ground truth, not a postoperative state of the source person; is evaluated on a single neutral-expression FaceScape-registered topology, and does not claim cross-dataset or cross-expression generalisation; is evaluated on an internal held-out identity split that was excluded from all final retraining but is not a historically untouched external test set, so the headline results are internal confirmatory evidence rather than external validation; reports deformation magnitudes in uncalibrated FaceScape units rather than physical millimetres, so the values should be interpreted comparatively rather than clinically; is a consultation-support prototype, not a medical device, and is designed to support clinical judgement rather than replace it."
698,narrative,"As discusses, many existing rhinoplasty visualisation tools focus on producing a convincing simulated appearance."
698,quantitative,"This dissertation takes a narrower, accountable route: a controlled sparse-to-dense benchmark becomes an interactive 3D preview system whose behaviour, reliability range, and geometric risks can be explicitly inspected."
708,quantitative,The clinical motivation in establishes why shared 3D preview matters.
708,narrative,The related-work task is now more specific: identify the domain measurement concepts a trustworthy preview must respect and use them to evaluate the technical families that could support Rhinoform.
716,narrative,Speaking precisely about ``the nose'' requires fixing its anatomical vocabulary.
716,narrative,"Morphologically the nose decomposes into a small set of sub-units---the root, the dorsum, the tip, and the left and right alar regions---and the morphology that drives revision concentrates on exactly these regions ()."
716,narrative,"This decomposition becomes the partition on which this project both names its interface controls and reports its error, so that where a preview is credible can be read off per sub-unit rather than hidden inside a single aggregate."
724,narrative,"The sub-unit surface is not free to move arbitrarily, because it is covered by a skin--soft-tissue envelope with well-characterised mechanics."
724,quantitative,"A convenient way to make ``over-stretch'' precise is the engineering strain of a surface edge: for a mesh edge e with rest length _e^0 and deformed length _e,"
730,quantitative,"_e \;=\; _e - _e^0 _e^0,"
734,narrative,the local fractional change in edge length.
734,narrative,"This quantity is clinically loaded because skin does not stretch linearly: its stress--strain response is J-shaped, with a compliant low-strain ``toe'' region followed by a steep rise once the collagen network engages ."
734,narrative,"Small edits therefore cost little tension, but beyond a threshold the envelope resists sharply, and an operative envelope that is thick, scarred or already under tension has far less margin to redrape over a large local strain; excessive tension can also compromise the soft-tissue conditions on which redraping depends ."
734,narrative,"It should be stressed that, because this project has no access to skin thickness, cartilage, CT or patient-specific material parameters, edge strain is used here strictly as a geometric proxy for local surface stretch, not as a patient-specific biomechanical estimate."
734,narrative,"A preview that silently drives large local surface stretch is thus geometrically implausible and worth flagging---which is the domain rationale for treating Equation eq:edge-strain as a risk signal to be capped, shrunk or refused () rather than rendered persuasively."
755,quantitative,"Making ``measurable'' operational presupposes a registered 3D representation, in which a vertex index refers to the same anatomical point across every identity."
755,narrative,"Only under this condition do both dense per-vertex error and the edge strain of Equation eq:edge-strain become exact quantities computed by direct index correspondence, rather than approximate surface-matching estimates; registration is therefore the precondition for the controlled benchmark and the risk metrics used throughout, and it is what the FaceScape substrate () supplies."
764,narrative,"Taken together, this clinical framing distils into the three requirements that the remainder of the chapter evaluates all prior work against: (i) registered locality---local nasal edits on a mesh that preserves anatomical correspondence; (ii) interpretable sparse control---deformation driven by a few intuitive handles rather than global parameters; and (iii) live geometric safety---a result regular enough to be shown in real time, and measurable enough (via strain and normal-flip proxies) that an edit leaving the benchmarked envelope can be quantified and refused."
764,narrative,"Every family of methods surveyed below is judged by how well it meets, or fails to meet, these three requirements."
778,narrative,"The work spans clinical language, geometry processing, statistical shape modelling and software design, so the key terms are fixed before the survey. is also a contract for the demo: the sidebar's region controls are a readable interface to the same sparse-control task, not a separate ad-hoc sculpting layer."
792,narrative,Term Meaning in this project \\
794,quantitative,"Sparse controls Nine nasal landmark displacements, encoded as a 27-D vector."
794,quantitative,\\ Dense ROI deformation A per-vertex displacement field over the 3934 nasal ROI vertices.
794,narrative,"\\ Nasal sub-units Radix/root, dorsum, tip and left/right alar regions used for error analysis and interface language."
794,narrative,\\ Ridge anchor The transparent source-PCA-conditioned linear map from sparse controls to dense ROI displacement.
794,narrative,\\ Residual proposal A learned correction to the ridge anchor; useful only when admitted under geometric budgets.
794,implementation_claim,"\\ RB-SR Residual-based safety refinement: a per-vertex learned gate admits the residual, followed by a hard certificate projection."
794,implementation_claim,\\ Ridge-relative fold certificate The hard admission contract: the certified output's folded faces must be a subset of the ridge anchor's folded faces for the same pair; enforced by residual attenuation with a guaranteed anchor endpoint.
794,narrative,\\ Target-relative new flips The primary regularity metric: the percentage of ROI faces that fold in the prediction but not in the ground-truth target.
794,implementation_claim,"Distinct from the certificate, which is referenced to the anchor."
794,quantitative,"\\ Risk metrics Target-relative new-flip percentage, edge-strain p_95 and an input-applicability control-scale statistic."
794,narrative,\\ Communication prototype A research interface for discussing morphology; not a surgical-outcome predictor or medical device.
811,narrative,"Before surveying specific operators, it is worth naming the single computational task they all instantiate, because it is the common yardstick used throughout the dissertation."
811,quantitative,"Every method in this project---geometric or learned---solves the same sparse-to-dense problem: given only a handful of displaced control landmarks (the nine-point, 27-D control vector of ), produce a plausible per-vertex displacement field over the entire nasal ROI. (a) illustrates this expansion from a few handles to a dense field."
820,quantitative+implementation,"Fig 2.1 --- Task definition and method-family taxonomy (REDRAW; merges rffigSparseDense + rffigDeformTaxonomy, 2 1) Claim: (a) formalises the under-determined completion task (c R^27 d R^3934 3); (b) places the four method families (geometric smoothness / statistical model / neural generative / anchored hybrid + certificate) on a ``prior strength data dependence'' plane and marks this project's position."
820,quantitative,"Supports RQ1 task formalisation.\\ Style: Benjamin-Teoh vector language (pastel semantic colours; one mechanism per panel).\\ Composition: (a) left: nasal-ROI line drawing with nine green control points arrow right: dense displacement-field sketch, edge annotated with the dimension jump; landmark layout must match the audited topology bundle (REPO/demo/public/bundle/head\_mean.json: roi\_landmarks\_local). (b) 2 2 quadrant map, four pastel rounded boxes with 1--2 representative methods each; certified RB-SR starred in the hybrid quadrant.\\ Data: conceptual. : conceptual."
820,quantitative,See figure\_redraw\_inventory.md Fig 2.1.
840,quantitative+implementation,"sparse-to-dense completion task: nine control displacements (FaceScape landmarks 27--35) must be expanded into a dense deformation of the 3934-vertex nasal ROI. (b) The four method families surveyed in this chapter, organised by prior strength and data dependence; certified RB-SR combines a statistical anchor with a gated neural residual and a hard certificate."
850,narrative,The task is under-determined by construction.
850,quantitative,"The 27 sparse-control scalars cannot uniquely determine the 11,802 dense displacement unknowns of the 3934-vertex ROI, so infinitely many dense fields are consistent with the same control input."
850,narrative,"Every method must therefore supply a prior that decides how the unconstrained vertices move: it is the prior, not the handles, that fills the gap between a few controls and thousands of coordinated vertices."
850,narrative,This is why a preview can look confident yet be untrustworthy---two methods can honour the identical nine handles while disagreeing completely on the surface between them.
859,narrative,"The central question of this dissertation is therefore not whether to interpolate but which prior to trust: a generic smoothness prior (geometry-based), a learned population prior (learning-based), or a hybrid that anchors a learned correction to a statistical backbone."
859,narrative,"Framing the task this way makes the survey directly comparable---the geometry-based methods of and the learning-based methods of are simply different answers to the same interpolation problem, and can be scored on the same two axes: reconstruction accuracy (how close the dense field is to the held-out FaceScape dense target) and geometric regularity (how free the result is of folds and excess strain)."
870,narrative,(b) turns this framing into the map for the remainder of the chapter.
870,narrative,"The one sparse-to-dense task branches into a data-agnostic geometry-based family (Laplacian, bi-Laplacian, ARAP and RBF interpolation), a data-aware learning-based family (VAE/CVAE and mesh autoencoders), and the anchored hybrid this project proposes."
870,narrative,"Each branch is a different answer to ``which prior?'', and the taxonomy fixes where every subsequent section sits: covers the statistical backbone the hybrid anchors to, the geometric branch, the learned branch, and the closing synthesis explains why Rhinoform commits to the hybrid branch rather than to either classical extreme."
885,narrative,The statistical backbone that the hybrid branch anchors to comprises the registered face representations on the data-aware branch of .
885,narrative,"All of these representations share the registered property whose measurement consequences already established: every face is expressed on a shared mesh topology, so a vertex index refers to the same anatomical point across identities."
885,quantitative,"This section introduces the statistical representations that the project either builds on or contrasts with---the 3D Morphable Model, its PCA shape space, FLAME, and FaceScape---and clarifies why their global face-space strengths must be repurposed for local, sparse-control nasal editing."
896,quantitative,The 3D Morphable Model (3DMM) is the foundational statistical face representation and is a load-bearing reference for this project.
896,quantitative,"As shows, a 3DMM is learned by densely registering a database of 3D scans and running principal component analysis (PCA) separately on the concatenated vertex coordinates and per-vertex colour."
896,narrative,"The result is a low-dimensional generative space: any face can be written as a mean shape s plus a linear combination of orthonormal shape eigenvectors u_j weighted by coefficients , \[ s( ) = s+ _j _ju_j, \] with an analogous texture model."
896,quantitative,"Walking a single coefficient along traverses one interpretable mode of population variation (), and the model is fitted to a 2D image by analysis-by-synthesis ()."
912,narrative,The key property Rhinoform inherits is the statistical coordinate system that PCA provides.
912,narrative,"PCA converts a raw high-dimensional vertex set into a compact, data-aware representation of population variation."
912,quantitative,"Its key limitation, however, is equally important: classic 3DMM edits are global and linear, whereas this dissertation targets local, handle-driven nasal deformation."
912,narrative,Rhinoform therefore adopts the PCA-space idea without adopting global coefficient editing as the interaction mechanism.
912,narrative,"In other words, it reuses the statistical space as a source-conditioned anchor, but replaces global PCA manipulation with sparse local control over the nasal ROI."
925,quantitative,figures/classic/morphable_3dmm.pdf
930,narrative,figures/classic/pca_shape_model.pdf
935,quantitative,database yields a PCA shape/texture space fitted to 2D input by analysis-by-synthesis; (b) sampling along prototype directions produces a continuum of plausible faces.
935,narrative,Rhinoform reuses the PCA-space idea as a source-conditioned statistical anchor but replaces global coefficient edits with sparse local control.
935,quantitative,"Reproduced from Blanz \ Vetter, SIGGRAPH 1999 , 1999 ACM."
944,narrative,Expression-aware models extend this statistical face-space tradition.
944,narrative,"FLAME factorises a head into interpretable parameter groups---identity shape , expression and pose ---combined through learned blendshapes and linear blend skinning around an articulated skeleton ()."
944,narrative,"Its inputs are the parameter vectors; its output is a posed full-head mesh; and its key modules are the shape/expression PCA blendshapes and the jaw, neck and eye joints that make expression and articulation physically plausible ()."
944,comparative_claim,"In the taxonomy of this chapter, FLAME is best understood as a landscape reference: it is the natural reference for whole-head and whole-face modelling rather than a direct solution to sparse nasal editing."
956,narrative,This contrast is useful.
956,narrative,"FLAME shows that interpretable, disentangled control is a mature principle in face modelling, while Rhinoform's target is a local surgical-aesthetic subregion."
956,narrative,"The editable and evaluated object is restricted to the nasal ROI so that the task remains local, morphology-focused and accountable at the nasal sub-unit level."
965,narrative,figures/classic/flame_model.png
